size,direct,2-way,4-way,8-way,full
2048,3.3955,2.5391,"","",2.1252
4096,2.3674,1.8457,1.5252,"",1.2722
8192,1.6576,1.254,1.1509,1.1124,1.0539
16384,1.2246,0.9782,0.8663,0.8621,0.7842
32768,1.0744,0.909,0.8624,0.8659,0.825
65536,1.0232,0.9088,0.8921,0.9034,0.8382
131072,1.0765,0.94,0.9468,0.9665,0.8729
262144,1.0113,1.0115,1.016,1.0214,0.9611
524288,1.1233,1.1325,1.1385,1.1447,1.0373
1048576,1.2559,1.2679,1.262,1.2703,1.1527
